mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5808967590332031,0.09959020828905972,0.09714884757995605,0.014467204872327827,100,10,4,log2,10,balanced_subsample,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__class_weight': 'balanced_subsample'}",0.7616099071207431,0.7034883720930233,0.775,0.7048192771084337,0.7423312883435583,0.7374497689331517,0.029105624316365583,18
0.5356434345245361,0.054809318173154854,0.10544362068176269,0.01451456229874313,100,20,8,log2,10,balanced,"{'model__n_estimators': 100, 'model__min_samples_split': 20, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__class_weight': 'balanced'}",0.7142857142857143,0.6759776536312849,0.7272727272727273,0.6703910614525139,0.7125748502994012,0.7001004013883283,0.022626188854384683,25
1.8131272315979003,0.10343268520888324,0.21769967079162597,0.03426204365428854,300,20,1,log2,5,balanced_subsample,"{'model__n_estimators': 300, 'model__min_samples_split': 20, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}",0.6402116402116402,0.5856079404466501,0.6361323155216285,0.6009852216748769,0.6262626262626263,0.6178399488234845,0.021114113485952525,30
0.8672727108001709,0.3167427910790628,0.1381514549255371,0.02865461192991161,100,20,4,sqrt,,balanced,"{'model__n_estimators': 100, 'model__min_samples_split': 20, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.7692307692307693,0.7048710601719198,0.7734138972809668,0.7177914110429447,0.7327327327327328,0.7396079740918666,0.027386985924721458,15
2.8064388751983644,0.056035692526162834,0.3012540817260742,0.03893417595724004,300,5,8,sqrt,5,balanced_subsample,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}",0.6356589147286822,0.5985037406483791,0.6445012787723785,0.6130653266331658,0.6243654822335025,0.6232189486032216,0.01626617605560009,27
2.3456913471221923,0.4718976349506832,0.5384190559387207,0.3700635288729822,300,5,2,sqrt,10,balanced,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__class_weight': 'balanced'}",0.8104575163398693,0.7289156626506024,0.8090614886731392,0.752411575562701,0.7770700636942676,0.7755832613841159,0.031793105345664055,6
5.521614694595337,0.19221852591338187,0.34262542724609374,0.09082980436542772,500,5,1,sqrt,,balanced_subsample,"{'model__n_estimators': 500, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.856140350877193,0.8135593220338984,0.8664259927797834,0.8333333333333334,0.8166089965397924,0.8372135991128001,0.0210272052824055,1
1.2846845149993897,0.4468770848905473,0.5131690979003907,0.02102974531235633,100,10,8,sqrt,10,balanced,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__class_weight': 'balanced'}",0.7730061349693251,0.6836158192090396,0.7619047619047619,0.6878612716763006,0.7218934911242604,0.7256562957767376,0.036785820050239205,19
0.8868346691131592,0.16248023286802504,0.13919649124145508,0.030819100700555088,100,2,4,log2,20,balanced_subsample,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}",0.8076923076923077,0.7305389221556886,0.810126582278481,0.740506329113924,0.7619047619047619,0.7701537806290326,0.033236487747364464,7
1.523859930038452,0.05915986425373726,0.1907811164855957,0.02145039108458794,200,20,2,log2,,balanced_subsample,"{'model__n_estimators': 200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.7888198757763976,0.7093023255813954,0.7692307692307693,0.7317073170731707,0.7323076923076923,0.7462735959938851,0.028675130373344907,12
2.035578727722168,0.2752535537477986,0.4754631996154785,0.06513399494188157,300,20,8,sqrt,5,balanced,"{'model__n_estimators': 300, 'model__min_samples_split': 20, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.6288659793814433,0.5955334987593052,0.6479591836734694,0.6069651741293532,0.6227848101265823,0.6204217292140306,0.01808703292587957,29
